transaction_id,transaction_date,amount,customer_id,card_number,merchant,location,fraudulent
00dd7c4b-815f-4673-9902-78cfbc0b0a93,2024-06-12 18:06:34,183.74,3df8a8f0-7d27-4f75-b1f3-4608ff18dd35,3530127906589183,"Ortiz, Zuniga and Roman","110 Gonzalez Rue
South Jeanneview, RI 69841",0
9dc461ff-8826-4be9-b213-0313cd762c73,2024-04-20 13:29:55,222.57,16dd8826-946e-428b-a7e0-3ade430398bc,4803347425798,Smith LLC,"77551 Matthew Crest Apt. 991
Port Michelle, IL 84808",0
df901281-5952-40f8-b146-cd44923d9dd2,2024-04-13 16:59:33,397.89,742a7786-ecd6-4a59-b9ed-2607f9ee4716,589799179868,Walker-Rojas,"0532 Berry Corners Apt. 317
South Victormouth, SD 50723",0
42ee235c-2ddd-4e5c-b3db-97207f6c6fba,2024-05-29 22:33:19,413.03,971af7d0-457b-416c-afdc-ea924394ca8c,4288851737233412,Munoz-Davis,"26216 Marissa Pass Suite 083
Lake Andrea, HI 85967",0
1cd0752a-2809-4a6f-81e7-f328d246920a,2024-02-21 10:11:40,203.09,4b041035-e070-4f60-92c7-442d808796fd,3548281092162758,Martin-Chang,"08439 Johnson Mall Suite 427
West Ashley, MI 92085",0
834d725f-ce5b-4566-9e2d-ae80abdba2ab,2024-07-10 00:46:12,36.98,5165d371-e3a1-40e5-8bff-4e43253e67e7,2273070544878142,"Wilkins, Barton and Franklin","USNV Sexton
FPO AP 19230",0
5a0d40dc-776e-4f56-9309-ef68a2a5ed05,2024-04-02 15:45:49,212.32,31ba16dc-ae7e-4cc5-b2ba-822b9bddf11c,30286436115629,"Ortega, Mathis and Miller","632 Bianca Vista Apt. 163
Dominicshire, NJ 72253",0
8ffc08fb-2d03-4bdb-8004-09c2183f7410,2024-01-30 00:01:52,676.13,1a2332cf-8e82-4582-8448-8f7f2e591f34,6011787395050368,Johnson Group,"4662 Hopkins Dam
Smithberg, CT 99132",1
5933b562-5d81-415f-b23b-28432187e5a7,2024-05-04 01:43:49,340.37,324c6514-d7f8-41a3-a257-6a195ebe50f4,6543796018698971,Hall Inc,"PSC 1589, Box 7969
APO AP 73762",0
2c39c811-8508-440e-8fb2-12c93c755583,2024-03-25 22:16:18,583.58,65684ce8-c00b-49a8-86a5-9f0fbca27c5a,371764632555944,"Bond, Jones and Schneider","2709 Elizabeth Course
North Joshuamouth, CT 35358",1
f155384b-061d-4794-bda9-2844051328df,2024-02-06 10:31:02,898.54,bd5ebb8c-53c2-4ab3-9c4b-9b37455cdf9a,4431290220016008,Maynard-Graham,"7824 James Crest Apt. 867
Darrenside, DC 36253",1
7e426b38-5d6e-458d-b0fb-3d1fc2d3f1ab,2024-02-11 08:55:22,182.2,8958c8da-897e-44b9-8453-49422d14df09,3568768080300718,Liu Ltd,"8807 Rose Greens Suite 605
Rogertown, AR 59553",1
36f595f0-9b33-4e6f-9af5-1de25fe7bfd5,2024-06-18 01:43:25,585.24,61b07cfd-d694-4e3a-9975-7adf78b62273,5191363120673942,Phillips Group,"497 Nicholas Manors
Rubenbury, CT 24895",1
cf81ab7c-be4c-4022-b1bd-b2e1c592519a,2024-02-20 21:13:57,550.8,e23d01ec-1a8b-4ed2-9864-faa6592a37e5,4031680527487955676,Glenn Inc,"7347 Jaime Forges Apt. 115
East Amber, VI 61771",1
44b87f47-40e1-4859-ba04-0df736221d05,2024-01-23 18:15:40,629.08,61b15456-ee1d-486b-ad5d-ab4701cc71d4,3559443716641437,Williams-Anderson,"4685 Anthony Forges
Richardshire, ID 12107",1
2f822894-91f5-4e59-9f7a-e21102b4b3ac,2024-05-07 07:49:52,253.33,062593a1-88c6-485a-9f78-f859210c53ba,4429386192972,Brady-Hall,"702 Wanda Key
Lauriebury, RI 19188",0
0b44603b-c663-4f46-b5e6-ee025d527bf8,2024-05-31 20:02:39,426.19,3eec54d5-71bf-4cda-b2a2-1bbda04c51b1,375605188540317,"Moore, Marquez and Woods","926 Stanton Springs Suite 368
Johnathanchester, CO 60002",0
71682834-d3ee-437b-be1a-693675aa3225,2024-06-20 18:13:34,119.74,005628ba-4213-4e0a-b90c-6895397d29be,30198030361436,Davis LLC,"8694 Chase Plains Suite 883
East Ryanfurt, CT 93802",0
56f6e137-8a25-4466-889a-5f94dcba69e3,2024-05-26 12:45:40,582.47,ff6e410a-707d-47c9-8095-a90f6bd89be7,3501968046274797,Hicks-Sims,"787 Brett Haven
South Scottmouth, GU 30690",1
